wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant,redirect_url
"At scale, renewable natural gas systems could be climate intensive: the influence of methane feedstock and leakage rates",2020.0,3964842,http://dx.doi.org/10.1088/1748-9326/ab9335,Yes (1),"https://validate.perfdrive.com/?ssa=147d2418-0557-4442-80f9-88b12216b8ea&ssb=66099228293&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1748-9326%2Fab9335&ssi=f84b459e-8427-4241-90c6-d8039fec4b6f&ssk=support@shieldsquare.com&ssm=20777338632481047102260478581486&ssn=6ee0727947af3a6fa532c36a1e23c533a0da5808956f-a338-466e-8061ac&sso=bea04e73-a00725873142d28fb1dc07b79b608625925e4182ce98e92c&ssp=87538715651654088618165409929300894&ssq=60048431296424859881412964077412157899607&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
Dutch Hybrid Neighbourhoods of 1860-1910 in Heat Transition: The Case Study of Zeeheldenkwartier in The Hague,2020.0,4144672,http://dx.doi.org/10.3390/en13205255,Yes (1),https://www.mdpi.com/1996-1073/13/20/5255/htm
Electric light commercial vehicles: Are they the sleeping giant of electromobility?,2020.0,4154130,http://dx.doi.org/10.1016/j.trd.2020.102421,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1361920920306088
Achieving a nearly zero energy district through integration of renewable energy: a case study in Valladolid (Spain),2020.0,4178677,http://dx.doi.org/10.6036/9694,Yes (1),https://www.revistadyna.com/search/achieving-a-nearly-zero-energy-district-through-integration-of-renewable-energy-a-case-study-in-vall
Secondary Bioactive Metabolites from Plant-Derived Food Byproducts through Ecopharmacognostic Approaches: A Bound Phenolic Case Study,2020.0,4199540,http://dx.doi.org/10.3390/plants9091060,Yes (1),https://www.mdpi.com/2223-7747/9/9/1060/htm
"Guilt-Tripping: On the Relation between Ethical Decisions, Climate Change and the Built Environment",2020.0,4201281,http://dx.doi.org/10.17645/up.v5i4.3301,Yes (1),https://www.cogitatiopress.com/urbanplanning/article/view/3301
A Methodological Integrated Approach to Analyse Climate Change Effects in Agri-Food Sector: The TIMES Water-Energy-Food Module,2020.0,4282497,http://dx.doi.org/10.3390/ijerph17217703,Yes (1),https://www.mdpi.com/1660-4601/17/21/7703/htm
State of the Art of Hydrogen Production via Pyrolysis of Natural Gas,2020.0,4372165,http://dx.doi.org/10.1002/cben.202000014,Yes (1),
"Methods to Optimize Carbon Footprint of Buildings in Regenerative Architectural Design with the Use of Machine Learning, Convolutional Neural Network, and Parametric Design",2020.0,4375412,http://dx.doi.org/10.3390/en13205289,Yes (1),https://www.mdpi.com/1996-1073/13/20/5289/htm
Advances Toward a Net-Zero Global Building Sector,2020.0,4376202,http://dx.doi.org/10.1146/annurev-environ-012420-045843,Yes (1),https://www.annualreviews.org/doi/10.1146/annurev-environ-012420-045843
The CO2 reduction potential for the European industry via direct electrification of heat supply (power-to-heat),2020.0,4376482,http://dx.doi.org/10.1088/1748-9326/abbd02,Yes (1),"https://validate.perfdrive.com/?ssa=ab4d1ee8-cb8d-4ebc-95a6-88d77996a6d5&ssb=79894228117&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1748-9326%2Fabbd02&ssi=eae09c8a-8427-4534-bddd-7e305d57631a&ssk=support@shieldsquare.com&ssm=04456593066439906100942554155900&ssn=a0c2e0866e656881971a403df365e66f230eac540c1b-e854-4e96-867730&sso=ffb1545b-ae1c7490d8674cc10f742a3246c05a6ef6ad4acf16348f3b&ssp=26867676381654036421165405428858048&ssq=41314841297494059530612974432382162949910&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
"Advances in integration of energy, water and environment systems towards climate neutrality for sustainable development",2020.0,4378338,http://dx.doi.org/10.1016/j.enconman.2020.113410,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0196890420309456
"Exhaust Emissions and Energy Consumption Analysis of Conventional, Hybrid, and Electric Vehicles in Real Driving Cycles",2020.0,4378770,http://dx.doi.org/10.3390/en13236423,Yes (1),https://www.mdpi.com/1996-1073/13/23/6423/htm
Greenhouse Gases and Circular Economy Issues in Sustainability Reports from the Energy Sector in the European Union,2020.0,4381340,http://dx.doi.org/10.3390/en13225993,Yes (1),https://www.mdpi.com/1996-1073/13/22/5993/htm
Hydrogen Strategy for a Climate-Neutral Europe,2020.0,5053179,http://dx.doi.org/10.18668/NG.2020.12.09,Yes (1),
Measuring the impact of demand response services on electricity prices in Latvian electricity market,2020.0,5061872,http://dx.doi.org/10.1109/RTUCON51174.2020.9316485,Yes (1),https://ieeexplore.ieee.org/document/9316485/
An Approach to Environmental Criteria in Public Procurement for the Renovation of Buildings in Spain,2020.0,5202011,http://dx.doi.org/10.3390/su12187590,Yes (1),https://www.mdpi.com/2071-1050/12/18/7590/htm
Studying the Transition towards a Circular Bioeconomy-A Systematic Literature Review on Transition Studies and Existing Barriers,2020.0,5205030,http://dx.doi.org/10.3390/su12218990,Yes (1),https://www.mdpi.com/2071-1050/12/21/8990/htm
Coking Coal in the European Green Deal Strategy,2020.0,5205064,http://dx.doi.org/10.29227/IM-2020-02-47,Yes (1),
Change as a permanent condition: A history of transition processes in Dutch North Sea fisheries,2020.0,5225186,http://dx.doi.org/10.1016/j.marpol.2020.104245,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0308597X20308915
Innovative alternatives for repowering offshore wind farms,2020.0,5228337,http://dx.doi.org/10.1088/1742-6596/1618/4/042037,Yes (1),"https://validate.perfdrive.com/?ssa=f025ec60-dd3c-4c87-807d-9784478312b3&ssb=12432257357&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1742-6596%2F1618%2F4%2F042037&ssi=48a80539-8427-4b2c-b04d-126cb00febe0&ssk=support@shieldsquare.com&ssm=20127292116203606107504053908333&ssn=67b7b3a2b7752514bf321c2a3f3e5499fb8e6cdc7138-ca1c-47aa-81c955&sso=e4d51d6f-14282f6f992a9e59162866594544c27e0760273bf31a8ee6&ssp=11504529521654060067165405772571463&ssq=60364281298356581294612983600574631194074&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
Fracture mechanics testing of irradiated RPV steels by means of sub-sized specimens: FRACTESUS project,2020.0,5245247,http://dx.doi.org/10.1016/j.prostr.2020.10.008,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2452321620305084
Sustainable Development of Society in the Context of the Transformation of the Legal Framework,2020.0,5253683,http://dx.doi.org/10.14207/ejsd.2020.v9n4p181,Yes (1),http://ecsdev.org/ojs/index.php/ejsd/article/view/1129
Modelling the Integration of Residential Heat Demand and Demand Response in Power Systems with High Shares of Renewables,2020.0,5313440,http://dx.doi.org/10.3390/en13246628,Yes (1),https://www.mdpi.com/1996-1073/13/24/6628/htm
Dynamic Modeling of a Decarbonized District Heating System with CHP Plants in Electricity-Based Mode of Operation,2020.0,5318187,http://dx.doi.org/10.3390/en13164134,Yes (1),https://www.mdpi.com/1996-1073/13/16/4134/htm
New Hydrogen Strategies of Germany and the EU and Prospects for Cooperation with Russia,2020.0,5339453,http://dx.doi.org/10.15211/soveurope520206576,Yes (1),http://www.sov-europe.ru/images/pdf/2020/5-2020/Belov-5-20.pdf
European Green Deal - a challenge for the transformation of the Polish oil and gas industry,2020.0,5339551,http://dx.doi.org/10.18668/NG.2020.10.12,Yes (1),https://www.inig.pl/magazyn/nafta-gaz/Nafta-Gaz_2020-10_12.pdf
Storage of hydrogen in geological structures,2020.0,5339554,http://dx.doi.org/10.18668/NG.2020.11.04,Yes (1),
Developing Nordic Cooperation in Renewable Electricity Policy: Exploring Views from Finland and Sweden,2020.0,5339578,http://dx.doi.org/10.17645/pag.v8i4.3408,Yes (1),https://www.cogitatiopress.com/politicsandgovernance/article/view/3408
Impact of 15-day energy forecasts on the hydro-thermal scheduling of a future Nordic power system,2020.0,5339616,http://dx.doi.org/10.1016/j.energy.2019.116668,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360544219323631
Business Models in the context of carbon mitigation: New Questions and Approaches illustrated by the Example of Energy Performance Contracting in Germany.,2020.0,5339716,http://dx.doi.org/10.1088/1755-1315/588/2/022062,Yes (1),"https://validate.perfdrive.com/?ssa=9df39cf6-caae-4f7e-a805-4e95c94441fb&ssb=32798204531&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1755-1315%2F588%2F2%2F022062&ssi=6793f596-8427-43fe-80c0-002d449d1f6a&ssk=support@shieldsquare.com&ssm=89827716377944110101959621791111&ssn=11642a813b8fb9e2581aceef88c1a1bff4fca0c6b8d5-5275-417f-a20fec&sso=08a8295c-06d5d699931f268d858ebda6be2e6971f769b2b51f0907ba&ssp=79003652821654068411165405144272094&ssq=69310001299371844918412993033335855383247&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
Developments in the global hydrogen market: The spectrum of hydrogen colours,2020.0,5339717,http://dx.doi.org/10.1016/S1464-2859(20)30546-0,Yes (1),https://www.magonlinelibrary.com/doi/abs/10.1016/S1464-2859%2820%2930546-0
The role of Power-to-Gas and electrochemical storage systems in a climate-neutral energy system,2020.0,5339719,http://dx.doi.org/10.23919/AEIT50178.2020.9241118,Yes (1),https://ieeexplore.ieee.org/document/9241118/
Is the climate neutrality an illusion?,2020.0,5339720,http://dx.doi.org/10.1109/EEM49802.2020.9221964,Yes (1),https://ieeexplore.ieee.org/document/9221964/
Creating a climate action plan at cal poly Pomona,2020.0,5339732,http://dx.doi.org/10.4324/9780429290275-6,Yes (1),https://www.taylorfrancis.com/chapters/edit/10.4324/9780429290275-6/creating-climate-action-plan-cal-poly-pomona-richard-willson
European Green Deal – legal and financial challenges of the climate change,2020.0,5339734,http://dx.doi.org/10.1007/s12027-020-00637-3,Yes (1),https://link.springer.com/article/10.1007/s12027-020-00637-3
Climate neutral waste management options,2020.0,5339737,http://dx.doi.org/10.18412/1816-0395-2020-2-64-70,Yes (1),https://www.ecology-kalvis.ru/jour/article/view/1469
Conceptualization of an Indicator System for Assessing the Sustainability of the Bioeconomy,2019.0,1905872,http://dx.doi.org/10.3390/su11020443,Yes (1),https://www.mdpi.com/2071-1050/11/2/443/htm
How and to which extent can the gas sector contribute to a climate-neutral European energy system? A qualitative approach,2019.0,2113839,http://dx.doi.org/10.1186/s13705-019-0207-2,Yes (1),https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-019-0207-2
The role of science in forest policy-Experiences by EFI,2019.0,2282320,http://dx.doi.org/10.1016/j.forpol.2019.05.014,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1389934119302539
Prospective Life Cycle Assessment of Large-Scale Biochar Production and Use for Negative Emissions in Stockholm,2019.0,2337822,http://dx.doi.org/10.1021/acs.est.9b01615,Yes (1),
How to Achieve a More Resource-Efficient and Climate-Neutral Energy System by 2030? Views of Nordic Stakeholders Palabras clave,2019.0,2368702,http://dx.doi.org/10.1111/ropr.12347,Yes (1),
Flobsion-Flexible Option with Benefit Sharing,2019.0,2391558,http://dx.doi.org/10.3390/ijfs7020022,Yes (1),https://www.mdpi.com/2227-7072/7/2/22/htm
Tourism and temperature effects on the electricity consumption of the hospitality sector,2019.0,2509236,http://dx.doi.org/10.1016/j.jclepro.2019.118168,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652619330380
Pathways to climate-neutral shipping: A Danish case study,2019.0,3170862,http://dx.doi.org/10.1016/j.energy.2019.116009,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360544219317037
From path dependence to policy mixes for Nordic electric mobility: Lessons for accelerating future transport transitions,2019.0,3171052,http://dx.doi.org/10.1007/s11077-019-09361-3,Yes (1),https://link.springer.com/article/10.1007/s11077-019-09361-3
New business models to support sustainable development: The case of energy-efficiency measures in buildings,2019.0,4492250,http://dx.doi.org/10.1088/1755-1315/323/1/012166,Yes (1),"https://validate.perfdrive.com/?ssa=e5397cc4-3eff-4a4c-87ed-94153ba5f8e2&ssb=76367258226&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1755-1315%2F323%2F1%2F012166&ssi=a5fe4430-8427-4678-ab9b-7a6179c03a97&ssk=support@shieldsquare.com&ssm=32721484775258268100387200773751&ssn=754f9a81f8dbeea69f70e818c9d8245f2f6120a49f30-3b85-4cd2-a725fa&sso=78e2ad03-a39c4d405af66e56a0314872a024c619aa0050cac15899fc&ssp=51460965621654046144165404415157880&ssq=50157231300922610282213009537569184209205&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
Industrial Climate Neutrality in the EU: Outline of an Integrated Industrial Green Deal,2019.0,5339738,http://dx.doi.org/10.1007/s10272-019-0848-6,Yes (1),https://link.springer.com/article/10.1007/s10272-019-0848-6
"The EU Electricity Sector Will Need Reform, Again",2019.0,5339739,http://dx.doi.org/10.1007/s10272-019-0849-5,Yes (1),https://link.springer.com/article/10.1007/s10272-019-0849-5
Ten personal reflections on the difficult journey towards climate neutrality,2019.0,5339740,http://dx.doi.org/10.4324/9789276082569-10,Yes (1),https://www.taylorfrancis.com/chapters/oa-edit/10.4324/9789276082569-10/ten-personal-reflections-difficult-journey-towards-climate-neutrality-jos-delbeke
Production of agricultural biogas from waste – An element of socially responsible actions in the food sector,2019.0,5339741,http://dx.doi.org/10.32933/ActaInnovations.33.5,Yes (1),https://www.proakademia.eu/en/acta-innovations/find-issues/all-issues/all-articles/537.html
The challenge of improving energy efficiency in the building sector: Taking an in-depth look at decision-making on investments in energy-efficient refurbishments,2019.0,5339743,http://dx.doi.org/10.1016/B978-0-12-818567-4.00002-8,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128185674000028
Introduction : A critical overview of the European National Energy and Climate Plans,2019.0,5339745,http://dx.doi.org/10.3280/EFE2019-001002,Yes (1),https://www.medra.org:443/servlet/MRService?hdl=10.3280/EFE2019-001002
Influence of Building Integrated Photovoltaic in Facades for the Energetic Evaluation of Buildings Part 2: Operating Performance of Building Integrated Photovoltaic in Facades in the Field - Free-Field Measurements,2018.0,892144,http://dx.doi.org/10.1002/bapi.201810009,Yes (1),
Sustainability Transitions at the Frontline. Lock-in and Potential for Change in the Local Planning Arena,2018.0,898269,http://dx.doi.org/10.3390/su10030840,Yes (1),https://www.mdpi.com/2071-1050/10/3/840/htm
"Effects of CMIP5 Projections on Volume Growth, Carbon Stock and Timber Yield in Managed Scots Pine, Norway Spruce and Silver Birch Stands under Southern and Northern Boreal Conditions",2018.0,899030,http://dx.doi.org/10.3390/f9040208,Yes (1),https://www.mdpi.com/1999-4907/9/4/208/htm
The world's first carbon neutral coffee: Lessons on certification and innovation from a pioneer case in Costa Rica,2018.0,901286,http://dx.doi.org/10.1016/j.jclepro.2018.03.226,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S095965261830903X
Coal with Carbon Capture and Sequestration is not as Land Use Efficient as Solar Photovoltaic Technology for Climate Neutral Electricity Production,2018.0,922095,http://dx.doi.org/10.1038/s41598-018-31505-3,Yes (1),https://www.nature.com/articles/s41598-018-31505-3
Smart cities: Under-gridding the sustainability of city-districts as energy efficient-low carbon zones,2018.0,1002370,http://dx.doi.org/10.1016/j.jclepro.2016.12.054,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652616321096
Methods for optimising energy efficiency and renovation processes of complex public properties,2018.0,1056026,http://dx.doi.org/10.1016/j.enbuild.2017.12.060,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0378778817327299
Beyond economicsunderstanding the decision-making of German small private landlords in terms of energy efficiency investment,2018.0,1083216,http://dx.doi.org/10.1007/s12053-017-9567-7,Yes (1),https://link.springer.com/article/10.1007/s12053-017-9567-7
The Energy & Raw Materials Factory: Role and Potential Contribution to the Circular Economy of the Netherlands,2018.0,1097455,http://dx.doi.org/10.1007/s00267-018-0995-8,Yes (1),https://link.springer.com/article/10.1007/s00267-018-0995-8
Integrating fast pyrolysis reactor with combined heat and power plant improves environmental and energy efficiency in bio-oil production,2018.0,1283915,http://dx.doi.org/10.1016/j.jclepro.2018.02.143,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652618304566
Resistance classes for concrete - Consideration of a promising new concept,2018.0,1286710,http://dx.doi.org/10.1002/best.201700091,Yes (1),
Environmental impacts and risks of the national renewable energy targets - A review and a qualitative case study from Finland,2018.0,1290548,http://dx.doi.org/10.1016/j.rser.2017.05.146,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032117307815
Modernization strategy for a carbon-neutral hospital,2018.0,1299706,http://dx.doi.org/10.1002/bapi.201810024,Yes (1),
Identifying business opportunities for green innovations: A quantitative foundation for accelerated micro-fuel cell diffusion in residential buildings,2018.0,1552055,http://dx.doi.org/10.1016/j.egyr.2017.12.002,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2352484717301452
"COMMUNITY, CAMPUS, AND CLIMATE AT CENTRAL COMMUNITY COLLEGE-3C INITIATIVE",2018.0,2528276,http://dx.doi.org/10.3992/1943-4618.13.1.139,Yes (1),https://meridian.allenpress.com/jgb/article-abstract/13/1/139/116261/COMMUNITY-CAMPUS-AND-CLIMATE-AT-CENTRAL-COMMUNITY?redirectedFrom=fulltext
Waiting for the sun - can temporal flexibility in BEV charging avoid carbon emissions?,2018.0,5339746,http://dx.doi.org/10.1186/s42162-018-0026-2,Yes (1),https://energyinformatics.springeropen.com/articles/10.1186/s42162-018-0026-2
Environmental assessment of biomass gasification combined heat and power plants with absorptive and adsorptive carbon capture units in Norway,2017.0,222083,http://dx.doi.org/10.1016/j.ijggc.2016.11.025,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1750583616308519
"Does infill outperform climate-adaptive growth policies in meeting sustainable urbanization goals? A scenario-based study in California, USA",2017.0,271294,http://dx.doi.org/10.1016/j.landurbplan.2016.08.013,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0169204616301669
Strategic leadership for sustainability by higher education: the American College & University Presidents' Climate Commitment,2017.0,273289,http://dx.doi.org/10.1016/j.jclepro.2015.08.077,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652615011683
Energy challenges: isolating results due to behavior change,2017.0,347951,http://dx.doi.org/10.1108/IJSHE-08-2015-0144,Yes (1),https://www.emerald.com/insight/content/doi/10.1108/IJSHE-08-2015-0144/full/html
The potential role of forest management in Swedish scenarios towards climate neutrality by mid century,2017.0,540561,http://dx.doi.org/10.1016/j.foreco.2016.07.015,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0378112716303619
Review on available biogas upgrading technologies and innovations towards advanced solutions,2017.0,772187,http://dx.doi.org/10.1016/j.jclepro.2017.06.045,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652617312143
Imagining the carbon neutral city: The (post)politics of time and space,2017.0,790342,http://dx.doi.org/10.1177/0308518X16680617,Yes (1),
Making climate change public? A dramaturgically inspired case-study of learning through transition management,2017.0,797859,http://dx.doi.org/10.1504/IJGW.2017.10005889,Yes (1),https://www.inderscience.com/offer.php?id=84786
Indicators and tools for assessing sustainability impacts of the forest bioeconomy,2017.0,1337179,http://dx.doi.org/10.1186/s40663-017-0089-8,Yes (1),https://forestecosyst.springeropen.com/articles/10.1186/s40663-017-0089-8
Uranium from Africa - An overview on past and current mining activities: Re-appraising associated risks and chances in a global context,2017.0,1372078,http://dx.doi.org/10.1016/j.jafrearsci.2016.12.004,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1464343X16304022
Climate-neutral and sustainable campus Leuphana University of Lueneburg,2017.0,1526961,http://dx.doi.org/10.1016/j.energy.2017.08.039,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360544217314172
"Green, circular, bio economy: A comparative analysis of sustainability avenues",2017.0,1601301,http://dx.doi.org/10.1016/j.jclepro.2017.09.053,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652617320425
"Towards zero climate emissions, zero waste, and one planet living - Testing the applicability of three indicators in Finnish cities",2017.0,1634404,http://dx.doi.org/10.1016/j.spc.2017.02.004,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2352550917300118
"Understanding consumers' renewable energy behaviour beyond ""homo economicus"": An exploratory survey in four European countries",2017.0,1673166,http://dx.doi.org/10.1109/EEM.2017.7981932,Yes (1),https://ieeexplore.ieee.org/document/7981932/
Determination of biomass content in combusted municipal waste and associated CO2 emissions in Estonia,2017.0,1824390,http://dx.doi.org/10.1016/j.egypro.2017.09.059,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1876610217339036
Decades of EU energy policy: towards politically driven markets,2017.0,5339611,http://dx.doi.org/10.1093/jwelb/jwx027,Yes (1),https://academic.oup.com/jwelb/article-abstract/10/5/380/4563549?redirectedFrom=fulltext
Elicitation formats and the WTA/WTP gap: A study of climate neutral foods,2016.0,212015,http://dx.doi.org/10.1016/j.foodpol.2016.03.001,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306919216300057
Carbon balance for wood production from sustainably managed forests,2016.0,219132,http://dx.doi.org/10.1016/j.biombioe.2016.05.025,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0961953416301799
Selection and prioritization of mitigation measures to realize climate neutral operation of a water cycle company,2016.0,281539,http://dx.doi.org/10.2166/wcc.2015.026,Yes (1),https://iwaponline.com/jwcc/article-abstract/7/1/29/1954/Selection-and-prioritization-of-mitigation?redirectedFrom=fulltext
Determining national greenhouse gas emissions from waste-to-energy using the Balance Method,2016.0,668713,http://dx.doi.org/10.1016/j.wasman.2016.01.025,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0956053X16300253
Crossing the chasm in Dutch greenhouse horticulture: the case of the New Cultivation concept,2016.0,1852364,http://dx.doi.org/10.17660/ActaHortic.2016.1132.10,Yes (1),https://www.actahort.org/books/1132/1132_10.htm
Climate Neutrality - Towards An Ethical Conception of Climate Neutrality,2016.0,2559768,http://dx.doi.org/10.1080/21550085.2016.1226241,Yes (1),https://www.tandfonline.com/doi/full/10.1080/21550085.2016.1226241
Forest Products Markets under Change: Review and Research Implications,2016.0,2616507,http://dx.doi.org/10.1007/s40725-016-0042-z,Yes (1),https://link.springer.com/article/10.1007/s40725-016-0042-z
Can we produce carbon and climate neutral forest bioenergy?,2015.0,54881,http://dx.doi.org/10.1111/gcbb.12134,Yes (1),
Anaerobic digestates lower N2O emissions compared to cattle slurry by affecting rate and product stoichiometry of denitrification - An N2O isotopomer case study,2015.0,106329,http://dx.doi.org/10.1016/j.soilbio.2015.01.021,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0038071715000334
Biomass Energy and Climate Neutrality: The Case of the Northern Forest,2015.0,363682,http://dx.doi.org/10.3368/le.91.2.197,Yes (1),http://le.uwpress.org/content/91/2/197
Natural gas as a marine fuel,2015.0,560173,http://dx.doi.org/10.1016/j.enpol.2015.08.027,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0301421515300665
Students as change agents in a town-wide sustainability transformation: the Oberlin Project at Oberlin College,2015.0,702746,http://dx.doi.org/10.1016/j.cosust.2015.07.005,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S187734351500069X
Zero emission targets as long-term global goals for climate protection,2015.0,725505,http://dx.doi.org/10.1088/1748-9326/10/10/105007,Yes (1),"https://validate.perfdrive.com/?ssa=ca92f3cc-05b1-4ff5-92b0-2ec43bdb20d1&ssb=24508277772&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1748-9326%2F10%2F10%2F105007&ssi=6ba5e6db-8427-4510-843d-a9834b12b997&ssk=support@shieldsquare.com&ssm=21430434619576054102964670292779&ssn=ab8d5721e7a3c38a4a21ae1283162b0a798c4e2f1e85-57c5-4aa0-a20239&sso=8ababc3d-f4b629e128620dab4b1acb998fbabb41b237f20fd7b92206&ssp=05781524801654077440165409600953179&ssq=63239341305061433750513050864315866984730&ssr=MTQ1LjI1My4xMTAuMjE4&sst=Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/101.0.4951.64%20Safari/537.36&ssv=&ssw=&ssx=W10="
Economic and environmental assessment of liquefied natural gas as a supplemental aircraft fuel,2014.0,587342,http://dx.doi.org/10.1016/j.paerosci.2013.12.002,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0376042113000900
A climate of change: A transition approach for climate neutrality in the city of Ghent (Belgium),2014.0,679497,http://dx.doi.org/10.1016/j.scs.2013.06.001,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2210670713000395
"Achieving profitable, productive climate-neutral Swedish agriculture",2014.0,714941,http://dx.doi.org/10.5367/oa.2014.0182,Yes (1),
"Net environmental impacts of low-share wood pellet co-combustion in an existing coal-fired CHP (combined heat and power) production in Helsinki, Finland",2014.0,717460,http://dx.doi.org/10.1016/j.energy.2014.09.068,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360544214011268
Aerosol radiative forcing from the 2010 Eyjafjallajokull volcanic eruptions,2014.0,1438732,http://dx.doi.org/10.1002/2014JD021977,Yes (1),
Greening University Campus Buildings to Reduce Consumption and Emission While Fostering Hands-on Inquiry-Based Education,2014.0,1666263,http://dx.doi.org/10.1016/j.proenv.2014.03.036,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1878029614000371
Global energy storage demand for a 100% renewable electricity supply,2014.0,1855041,http://dx.doi.org/10.1016/j.egypro.2014.01.154,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1876610214001702
Climate-neutrality versus carbon-neutrality for aviation biofuel policy,2013.0,128181,http://dx.doi.org/10.1016/j.trd.2013.03.013,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S136192091300062X
The role of forest residues in the accounting for the global warming potential of bioenergy,2013.0,238347,http://dx.doi.org/10.1111/gcbb.12014,Yes (1),
The use of life cycle assessment for evaluating the sustainability of the Amsterdam water cycle,2013.0,372071,http://dx.doi.org/10.2166/wcc.2013.007,Yes (1),https://iwaponline.com/jwcc/article-abstract/4/2/103/3618/The-use-of-life-cycle-assessment-for-evaluating?redirectedFrom=fulltext
"The ""New Urban Europe"": Global Challenges and Local Responses in the Urban Century",2013.0,497367,http://dx.doi.org/10.1080/09654313.2012.716243,Yes (1),https://www.tandfonline.com/doi/abs/10.1080/09654313.2012.716243
Time-dependent climate impact of a bioenergy system - methodology development and application to Swedish conditions,2013.0,574427,http://dx.doi.org/10.1111/gcbb.12031,Yes (1),
N2O fluxes of a bio-energy poplar plantation during a two years rotation period,2013.0,604278,http://dx.doi.org/10.1111/gcbb.12019,Yes (1),
Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings,2013.0,654413,http://dx.doi.org/10.1016/j.enbuild.2013.08.032,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S037877881300529X
