"sep=,"
wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant
Experiences of Bio-Coal Applications in the Blast Furnace Process-Opportunities and Limitations,2021,5339535,http://dx.doi.org/10.3390/min11080863,Unrated (0)
20 Percent less CO2 - Clay Blocks on the way to Climate Neutrality,2021,5339538,,Mixed (3)
Interaction of hydrogen infrastructures with other sector coupling options towards a zero-emission energy system in Germany,2021,5339542,http://dx.doi.org/10.1016/j.renene.2021.08.016,Unrated (0)
Simulation-based optimization of energy performance with focus on sustainable building services engineering,2021,5339543,http://dx.doi.org/10.1088/1742-6596/2042/1/012077,Unrated (0)
Sustainability Performance of Port Infrastructure-A Case Study of a Quay Wall,2021,5339544,http://dx.doi.org/10.3390/su132111932,Unrated (0)
"Production of advanced fuels through integration of biological, thermo-chemical and power to gas technologies in a circular cascading bio-based system",2021,5339545,http://dx.doi.org/10.1016/j.rser.2020.110371,Unrated (0)
Efficiency of Implementing Climate/Energy Targets of the Europe 2020 Strategy and the Structural Diversity between Old and New Member States,2021,5339546,http://dx.doi.org/10.3390/en14248428,Yes (1)
The EUs Policies for the Green Deal Internationalization,2021,5339547,http://dx.doi.org/10.17323/1996-7845-2021-03-06,Yes (1)
Development of Industrial Sites toward climate-neutral Production Solution Approaches for Decarbonizing the Paper Industry,2021,5339549,,Mixed (3)
An Interoperable BIM-Based Toolkit for Efficient Renovation in Buildings,2021,5339558,http://dx.doi.org/10.3390/buildings11070271,Yes (1)
The EU's Recovery and Resilience Facility: A Next Phase in EU Socioeconomic Governance?,2021,5339561,http://dx.doi.org/10.17645/pag.v9i3.4290,Yes (1)
METHODOLOGICAL APPROACH TO ASSESSING THE MANAGEMENT MODEL OF PROMOTING GREEN ENERGY SERVICES IN THE CONTEXT OF DEVELOPMENT SMART ENERGY GRIDS,2021,5339567,,Yes (1)
Economies of scale in battery cell manufacturing: The impact of material and process innovations,2021,5339569,http://dx.doi.org/10.1016/j.apenergy.2021.116499,Yes (1)
Open model -based analysis of a 100% renewable and sector-coupled energy system?The case of Germany in 2050,2021,5339570,http://dx.doi.org/10.1016/j.apenergy.2021.116618,Yes (1)
Power-to-Gas and Power-to-X-The History and Results of Developing a New Storage Concept,2021,5339571,http://dx.doi.org/10.3390/en14206594,Mixed (3)
"Bioconversion of Digestate, Pig Manure and Vegetal Residue-Based Waste Operated by Black Soldier Fly Larvae, Hermetia illucens L. (Diptera: Stratiomyidae)",2021,5339572,http://dx.doi.org/10.3390/ani11113082,No (2)
Whole-genome resequencing of 445 Lactuca accessions reveals the domestication history of cultivated lettuce,2021,5339577,http://dx.doi.org/10.1038/s41588-021-00831-0,No (2)
Roundwood and Biomass Logistics in Finland and Sweden,2021,5339582,http://dx.doi.org/10.5552/crojfe.2021.803,No (2)
Impact of operational details and temporal representations on investment planning in energy systems dominated by wind and solar,2021,5339585,http://dx.doi.org/10.1016/j.apenergy.2021.116712,Mixed (3)
"Why Renewable Fuels should be Considered in the CO2 Standards of New Cars, Vans and Trucks.",2021,5339586,http://dx.doi.org/10.1007/978-3-658-35588-3_1,Yes (1)
Influence of storage on the physical and chemical properties of Scots pine bark,2021,5339587,http://dx.doi.org/10.1007/s12155-020-10206-8,No (2)
Reliable genomic strategies for species classification of plant genetic resources,2021,5339588,http://dx.doi.org/10.1186/s12859-021-04018-6,No (2)
Does Juvenile Stand Management Matter? Regional Scenarios of the Long-Term Effects on Wood Production,2021,5339589,http://dx.doi.org/10.3390/f12010084,No (2)
"Advanced genebank management of genetic resources of European wild apple, Malus sylvestris, using genome-wide SNP array data",2021,5339590,http://dx.doi.org/10.1007/s11295-021-01513-y,No (2)
"PT ECO-STEAM Project Pfleiderer Specialty Papers saves over 27,000 Tons of CO2 by Investing in climate-neutral Steam Supply",2021,5339591,,Mixed (3)
Die Bedeutung der Lieferkette fur den Klimafussabdruck von UnternehmenThe Relevance of the Supply Chain for the Climate Footprint of Companies,2021,5339592,http://dx.doi.org/10.1002/cite.202100126,Yes (1)
Variation of Absorption Angstrom Exponent in Aerosols From Different Emission Sources,2021,5339594,http://dx.doi.org/10.1029/2020JD034094,Yes (1)
New Cluster for Decarbonization of Industry Green Signal has been given at 2nd Lausatian Expert Conference for climate-neutral Industrial Future,2021,5339602,,Mixed (3)
Back-to-monomer recycling of polycondensation polymers: opportunities for chemicals and enzymes,2021,5339603,http://dx.doi.org/10.1039/d1ra08217e,Mixed (3)
Achieving Land Degradation Neutrality: A Robust Soil System Forms the Basis for Nature-Based Solutions,2021,5339606,http://dx.doi.org/10.3390/land10121300,Mixed (3)
From Low- to Net-Zero Carbon Cities: The Next Global Agenda,2021,5339607,http://dx.doi.org/10.1146/annurev-environ-050120-113117,Yes (1)
Adapting Railway Maintenance to Climate Change,2021,5339608,http://dx.doi.org/10.3390/su132413856,Mixed (3)
On the origin and dispersal of cultivated spinach (Spinacia oleracea L.),2021,5339609,http://dx.doi.org/10.1007/s10722-020-01042-y,No (2)
Circular Business Models and Circular Agriculture: Perceptions and Practices of Dutch Farmers,2021,5339612,http://dx.doi.org/10.3390/su13031282,Mixed (3)
On European Green Deal and Sustainable Development Policy (the Case of Romania),2021,5339613,http://dx.doi.org/10.3390/su132112233,Yes (1)
Textiles for Circular Fashion: The Logic behind Recycling Options,2021,5339614,http://dx.doi.org/10.3390/su13179714,No (2)
Environmental performance of a geothermal power plant using a hydrothermal resource in the Southern German Molasse Basin,2021,5339615,http://dx.doi.org/10.1016/j.renene.2020.11.028,Yes (1)
Spatiotemporal Variations and Uncertainty in Crop Residue Burning Emissions over North China Plain: Implication for Atmospheric CO2 Simulation,2021,5339617,http://dx.doi.org/10.3390/rs13193880,Yes (1)
Moving from Niche to Norm: Lessons from Food Waste Initiatives,2021,5339622,http://dx.doi.org/10.3390/su13147667,No (2)
"How to achieve a more resource efficient and climate neutral energy system by 2030? Views of Nordic stakeholders (vol 36, pg 448, 2019)",2021,5339623,http://dx.doi.org/10.1111/ropr.12414,Mixed (3)
Reuse of CO2 in energy intensive process industries,2021,5339625,http://dx.doi.org/10.1039/d1cc03154f,Yes (1)
Structural color coatings for high performance BIPV,2021,5339652,http://dx.doi.org/10.1088/1755-1315/855/1/012011,Yes (1)
European Green Deal as a matter of security,2021,5339653,http://dx.doi.org/10.1088/1755-1315/900/1/012035,Yes (1)
"Development of Renewable Energy in Lithuania: Experience, State and Trends",2021,5339654,http://dx.doi.org/10.5755/j01.erem.77.4.29902,Yes (1)
"Nonaqueous Solvent Extraction for Enhanced Metal Separations: Concept, Systems, and Mechanisms",2021,5339655,http://dx.doi.org/10.1021/acs.iecr.1c02287,No (2)
Creating a Regulatory Framework for the ESG-investment in the Multimodal Transportation Development,2021,5339656,http://dx.doi.org/10.2478/plua-2021-0016,Yes (1)
R&d spending in the energy sector and achieving the goal of climate neutrality,2021,5339657,http://dx.doi.org/10.3390/en14237875,Yes (1)
The Relevance of the Supply Chain for the Climate Footprint of Companies,2021,5339658,http://dx.doi.org/10.1002/cite.202100126,Yes (1)
The EU climate package “Fit for 55” - a double-edged sword for Europeans and their forests and timber industry,2021,5339659,http://dx.doi.org/10.1016/j.forpol.2021.102596,Yes (1)
Emissions Trading as a Guiding Instrument for an Effective and Efficient EU Climate Policy in Transport,2021,5339660,http://dx.doi.org/10.1007/s10273-021-3023-1,Yes (1)
Added value in mechanized tunnelling by intelligent systems,2021,5339661,http://dx.doi.org/10.1002/geot.202100047,Yes (1)
"Comparison of Promising Sustainable C1-Fuels Methanol, Dimethyl Carbonate, and Methyl Formate in a DISI Single-Cylinder Light Vehicle Gasoline Engine",2021,5339662,http://dx.doi.org/10.4271/2021-01-1204,Yes (1)
DC Chopper Energy Dissipation Strategies for Integration of Offshore Wind Power Plants via Multi-terminal HVDC Networks,2021,5339663,,Mixed (3)
Global trends in aviation – new research directions,2021,5339664,http://dx.doi.org/10.13111/2066-8201.2021.13.3.19,Yes (1)
Road transport corridors to ecological transition in Spain,2021,5339665,http://dx.doi.org/10.2495/TDI-V5-N3-291-301,Yes (1)
Utilisation of value for the consumer involvement in the processes of the energy sector,2021,5339666,http://dx.doi.org/10.6001/ENERGETIKA.V67I1.4533,Yes (1)
Practical experience report: How the pharmacy becomes climate-neutral,2021,5339667,,Mixed (3)
The impact of Power transformers on the Energy Performance Indicators of the power distribution grids of industrial end-users transitioning towards environmental sustainability,2021,5339668,http://dx.doi.org/10.1109/MPS52805.2021.9492714,Yes (1)
How sweden’s roadmap for fossil-free aviation paved the way for a more constructive dialogue regarding aviation and climate change,2021,5339669,,Yes (1)
Design of a district heating roadmap for Hamburg,2021,5339670,http://dx.doi.org/10.1016/j.segy.2021.100014,Yes (1)
Electronic Component System to Achieve Climate Neutrality,2021,5339671,http://dx.doi.org/10.1109/SSI52265.2021.9467009,Yes (1)
Preliminary investigations on methane pyrolysis for the production of H2 in a molten metal bath,2021,5339672,,Yes (1)
"Corrigendum to: How to Achieve a More Resource-Efficient and Climate-Neutral Energy System by 2030? Views of Nordic Stakeholders: Views of Nordic Stakeholders (Review of Policy Research, (e0001), 10.1111/ropr.12347)",2021,5339673,http://dx.doi.org/10.1111/ropr.12414,Yes (1)
Everyday mobility in municipalities between the Lower Rhine and Ruhr areas. Why is public transport not used more frequently?,2021,5339674,http://dx.doi.org/10.1007/s00548-020-00680-9,Mixed (3)
"Empirical analysis of ""GHG emission avoidance"" calculation for selection of sustainable environmental projects",2021,5339675,http://dx.doi.org/10.18280/ijsdp.160114,Yes (1)
Carbon Pricing and Revenue Recycling: An Overview of Vertical and Horizontal Equity Effects for Germany*,2021,5339676,,Yes (1)
The Intertemporal Distribution of Climate Policy Burdens and the Decision of the German Constitutional Court,2021,5339677,,Yes (1)
Assessing the Distributional Effects of the European Green Deal*,2021,5339678,,Yes (1)
A case study analysis of Positive Energy District concepts between Switzerland and Norway,2021,5339679,,Yes (1)
Policies for climate-neutral road transport,2021,5339680,http://dx.doi.org/10.1016/B978-0-12-822143-3.00007-X,Yes (1)
Toward a roadmap for electrification,2021,5339681,http://dx.doi.org/10.1016/B978-0-12-822143-3.00008-1,Yes (1)
Introduction: Electrification and the energy transition,2021,5339682,http://dx.doi.org/10.1016/B978-0-12-822143-3.00006-8,Yes (1)
Globally and locally applicable technologies to accelerate electrification,2021,5339683,http://dx.doi.org/10.1016/B978-0-12-822143-3.00005-6,Yes (1)
How to accelerate electrification? The leverage of policies,2021,5339684,http://dx.doi.org/10.1016/B978-0-12-822143-3.00011-1,Yes (1)
Toward smarter and more flexible grids,2021,5339685,http://dx.doi.org/10.1016/B978-0-12-822143-3.00012-3,Yes (1)
Anticipating future trends in energy transition: Multilevel dynamics in energy policy agenda-setting,2021,5339686,http://dx.doi.org/10.1016/B978-0-12-822143-3.00009-3,Yes (1)
From energy consumers to prosumers-how do policies influence the transition?,2021,5339687,http://dx.doi.org/10.1016/B978-0-12-822143-3.00010-X,Yes (1)
How to combine various solutions in a national context?,2021,5339688,http://dx.doi.org/10.1016/B978-0-12-822143-3.00003-2,Yes (1)
Analyzing electrification scenarios for the northern European energy system,2021,5339689,http://dx.doi.org/10.1016/B978-0-12-822143-3.00013-5,Yes (1)
MEASURING CIRCULARITY IN ORGANISATIONS: REVIEW OF TOOLS AND APPLICATION CASE,2021,5339690,,Yes (1)
ARE ORGANIZATIONS COMMUNICATING ASPECTS CONCERNING THEIR CIRCULARITY IN THEIR SUSTAINABILITY REPORTS?,2021,5339691,,Yes (1)
Financial sustainability in Italian Organic Farms: an analysis of the fadn Sample,2021,5339692,http://dx.doi.org/10.3280/ecag2021oa12766,Yes (1)
Potential role of energy communities in the way towards climate neutrality Case study of Latvia,2021,5339693,http://dx.doi.org/10.1109/RTUCON53541.2021.9711724,Yes (1)
Bio-oil boilers generate climate-neutral heat in Norway,2021,5339694,,Mixed (3)
Virtual Climatization,2021,5339695,http://dx.doi.org/10.37544/1436-4980-2021-11-12-118,Yes (1)
Human-Centred Design: Participated Energy Retrofit for Educational Buildings,2021,5339696,,Yes (1)
Eu cross-border carbon tax: Hedging risks,2021,5339697,http://dx.doi.org/10.17580/chm.2021.10.11,Mixed (3)
Climate neutrality: The right technology at the right time,2021,5339698,,Mixed (3)
Why bioenergy can be a key to the achievement of climate targets: Building block of climate neutrality,2021,5339699,,Mixed (3)
Research of biomass micro-cogeneration system integration with a solar PV panels in zero-energy family building,2021,5339700,http://dx.doi.org/10.17770/etr2021vol1.6568,Yes (1)
Electrification and energy efficiency in buildings: Policy implications and interactions,2021,5339701,http://dx.doi.org/10.1016/B978-0-12-822143-3.00004-4,Yes (1)
On the road towards a smart Urban district supported by a mock platform,2021,5339702,,Mixed (3)
Thermal and mechanical energy storage as a chance for energy transformation in Poland,2021,5339703,http://dx.doi.org/10.33223/EPJ/141867,Yes (1)
"Creating simulation model to monitor, test and enhance the effectiveness of circular economy systems",2021,5339704,,Yes (1)
"Sustainable energy supply for the Green Deal: Not only climate-neutral, but also resource-efficient",2021,5339705,http://dx.doi.org/10.37544/1618-193x-2021-7-8-6,Mixed (3)
A review of the basic safety requirements of emerging infrastructures for green transition,2021,5339706,http://dx.doi.org/10.3303/CET2186097,Yes (1)
"Cost-efficient climate neutrality in companies: CO2 management and the impalpable ""Scope 3""",2021,5339707,,Mixed (3)
Building block for climate neutrality: Global hydrogen strategies and projects,2021,5339708,,Mixed (3)
Hydrogen CHP-The Enabler,2021,5339709,,Yes (1)
New cogeneration plant helps airport to become climate neutral,2021,5339710,,Mixed (3)
District heating sector supports the EU on a path towards climate neutrality,2021,5339711,,Mixed (3)
"Hot-dip coating of hot-rolled strip - A building block for climate-neutral steel and for the improvement of the CO2 footprint. Part 3: Surface appearance, properties (chemical composition, mechanical parameters), conclusion and outlook",2021,5339712,,Mixed (3)
Energy System Models for City Climate Mitigation Plans—Challenges and Recommendations,2021,5339713,http://dx.doi.org/10.1007/978-3-030-57764-3_2,Yes (1)
Feasibility study on the applicability of clean air in gas-insulated DC systems,2021,5339714,,Yes (1)
Introduction,2020,47533,http://dx.doi.org/10.18543/CED-62-2020PP25-29,Yes (1)
Impact of structural changes in wood-using industries on net carbon emissions in Finland,2020,3229040,http://dx.doi.org/10.1111/jiec.12981,Unrated (0)
Preferable utilisation patterns of wood product industries' by-products in Finland,2020,3243790,http://dx.doi.org/10.1016/j.forpol.2019.101946,Mixed (3)
Promises and Techno-Politics: Renewable Energy and Malmo's Vision of a Climate-Smart City,2020,3280208,http://dx.doi.org/10.1080/09505431.2019.1705274,Yes (1)
Projecting Climate Change Potential of Harvested Wood Products under Different Scenarios of Wood Production and Utilization: Study of Slovakia,2020,3546699,http://dx.doi.org/10.3390/su12062510,Yes (1)
Climate neutrality versus greenhouse gas neutrality. Challenges to cooperation in multi-level governance in Germany,2020,3596593,http://dx.doi.org/10.14512/gaia.29.1.7,Yes (1)
From consumers to energy citizens: Finns' readiness for demand response and prosumerism in energy policy making,2020,3722556,http://dx.doi.org/10.1108/IJESM-11-2019-0001,Mixed (3)
How photovoltaics can contribute to GHG emission reductions of 55% in the EU by 2030,2020,3778854,http://dx.doi.org/10.1016/j.rser.2020.109836,Unrated (0)
Compensation and Climate Neutrality - the Ideal Route to Climate Protection?,2020,3779031,http://dx.doi.org/10.14512/gaia.29.1.5,Mixed (3)
Climate neutral enterprises and administration. Effective climate protection or greenwashing?,2020,3779032,http://dx.doi.org/10.14512/gaia.29.1.6,Yes (1)
Introduction,2020,3779059,http://dx.doi.org/10.18543/ced-62-2020pp25-29,Yes (1)
Catalyzing Sustainable Transport Innovation through Policy Support and Monitoring: The Case of TRIMIS and the European Green Deal,2020,3779778,http://dx.doi.org/10.3390/su12083171,Yes (1)
"Proposal for a Regulation of the European Parliament and of the Council establishing the framework for achieving climate neutrality and amending Regulation (EU) 2018/1999 (""European Climate Act"")",2020,3779860,,Yes (1)
Wiesenhof Climate-neutral management of Locations,2020,3782873,,Unrated (0)
Analyzing Similarities between the European Union Countries in Terms of the Structure and Volume of Energy Production from Renewable Energy Sources,2020,3785743,http://dx.doi.org/10.3390/en13040913,Yes (1)
New challenges for anesthesia due to the climate change,2020,3791834,http://dx.doi.org/10.1007/s00101-020-00770-1,Yes (1)
NATURAL GAS AND BIOMETHANE IN THE EUROPEAN ROAD TRANSPORT: THE LATVIAN PERSPECTIVE,2020,3806831,http://dx.doi.org/10.2478/lpts-2020-0016,Yes (1)
Demonstrating GWP*: a means of reporting warming-equivalent emissions that captures the contrasting impacts of short- and long-lived climate pollutants,2020,3810348,http://dx.doi.org/10.1088/1748-9326/ab6d7e,Yes (1)
Alnatura Campus - building the Alnatura Working Environment,2020,3812525,http://dx.doi.org/10.1002/bate.201900115,Yes (1)
Overview of the Available Knowledge for the Data Model Definition of a Building Renovation Passport for Non-Residential Buildings: The ALDREN Project Experience,2020,3814763,http://dx.doi.org/10.3390/su12020642,Unrated (0)
Abrupt increase in harvested forest area over Europe after 2015,2020,3823638,http://dx.doi.org/10.1038/s41586-020-2438-y,Unrated (0)
Surface Treatments Solutions to Green Tribology,2020,3823873,http://dx.doi.org/10.3390/coatings10070634,Unrated (0)
Impact of the SARS-CoV-2 on the Italian Agri-Food Sector: An Analysis of the Quarter of Pandemic Lockdown and Clues for a Socio-Economic and Territorial Restart,2020,3823895,http://dx.doi.org/10.3390/su12145651,Unrated (0)
Towards climate change mitigation and adaptation in cities - the role of Greek Municipalities and Prefectures. Findings and outcomes from the EMPOWERING Project,2020,3827056,http://dx.doi.org/10.1088/1755-1315/410/1/012008,Unrated (0)
The low carbon development options for Russia,2020,3834570,http://dx.doi.org/10.1007/s10584-020-02780-9,Yes (1)
How to Prioritize Energy Efficiency Intervention in Municipal Public Buildings to Decrease CO(2)Emissions? A Case Study from Italy,2020,3835469,http://dx.doi.org/10.3390/ijerph17124434,Yes (1)
Verfahrensubersicht zur Erzeugung von Wasserstoff durch Erdgas-PyrolyseState of the Art of Hydrogen Production via Pyrolysis of Natural Gas,2020,3849829,http://dx.doi.org/10.1002/cite.202000021,Yes (1)
What Does It Take to Go Net-Zero-CO2? A Life Cycle Assessment on Long-Term Storage of Intermittent Renewables With Chemical Energy Carriers,2020,3853316,http://dx.doi.org/10.3389/fenrg.2020.00104,Yes (1)
Planning for Climate and the Environment: the EU Green Deal,2020,3855853,http://dx.doi.org/10.1163/18760104-01703003,Unrated (0)
Technical Potential for Energy and GWP Reduction in Chemical-Pharmaceutical Industry in Germany and EU-Focused on Biologics and Botanicals Manufacturing,2020,3855868,http://dx.doi.org/10.3390/pr8070818,Yes (1)
EU-28 Residential Heat Supply and Consumption: Historical Development and Status,2020,3861209,http://dx.doi.org/10.3390/en13081894,Yes (1)
Analysis and Forecasting of the Primary Energy Consumption in Poland Using Deep Learning,2020,3862808,http://dx.doi.org/10.29227/IM-2020-01-77,Unrated (0)
HeidelbergCement researches the use of climate-neutral fuels in the United Kingdom,2020,3862938,,Mixed (3)
At what carbon price forest cutting should stop,2020,3871997,http://dx.doi.org/10.1007/s11676-020-01101-1,Yes (1)
GHG Performance Evaluation in Green Deal Context,2020,3875685,http://dx.doi.org/10.2478/rtuect-2020-0026,Yes (1)
Ranking of Bioresources for Biogas Production,2020,3875838,http://dx.doi.org/10.2478/rtuect-2020-0021,Yes (1)
Digital Transformation Supporting Transport Decarbonisation: Technological Developments in EU-Funded Research and Innovation,2020,3878135,http://dx.doi.org/10.3390/su12093762,Yes (1)
Considerations on the optimal processing capacity of beet sugar factories,2020,3878336,http://dx.doi.org/10.36961/si24469,Unrated (0)
Identifying decarbonisation opportunities using marginal abatement cost curves and energy system scenario ensembles,2020,3962335,http://dx.doi.org/10.1016/j.apenergy.2020.115456,Unrated (0)
"At scale, renewable natural gas systems could be climate intensive: the influence of methane feedstock and leakage rates",2020,3964842,http://dx.doi.org/10.1088/1748-9326/ab9335,Yes (1)
Bending the curve of terrestrial biodiversity needs an integrated strategy,2020,3966797,http://dx.doi.org/10.1038/s41586-020-2705-y,Mixed (3)
Dutch Hybrid Neighbourhoods of 1860-1910 in Heat Transition: The Case Study of Zeeheldenkwartier in The Hague,2020,4144672,http://dx.doi.org/10.3390/en13205255,Yes (1)
Electric light commercial vehicles: Are they the sleeping giant of electromobility?,2020,4154130,http://dx.doi.org/10.1016/j.trd.2020.102421,Yes (1)
The Covid-19 crisis: a critical juncture for EU climate policy development?,2020,4168350,http://dx.doi.org/10.1080/07036337.2020.1853117,Mixed (3)
Achieving a nearly zero energy district through integration of renewable energy: a case study in Valladolid (Spain),2020,4178677,http://dx.doi.org/10.6036/9694,Yes (1)
Secondary Bioactive Metabolites from Plant-Derived Food Byproducts through Ecopharmacognostic Approaches: A Bound Phenolic Case Study,2020,4199540,http://dx.doi.org/10.3390/plants9091060,Yes (1)
"Guilt-Tripping: On the Relation between Ethical Decisions, Climate Change and the Built Environment",2020,4201281,http://dx.doi.org/10.17645/up.v5i4.3301,Yes (1)
THE EUROPEAN GREEN DEAL: A POSSIBLE GREEN EXIT FROM THE COVID-19 CRISIS?,2020,4205317,,Yes (1)
Green New Deal Policy of South Korea: Policy Innovation for a Sustainability Transition,2020,4245820,http://dx.doi.org/10.3390/su122310191,Unrated (0)
A Methodological Integrated Approach to Analyse Climate Change Effects in Agri-Food Sector: The TIMES Water-Energy-Food Module,2020,4282497,http://dx.doi.org/10.3390/ijerph17217703,Yes (1)
State of the Art of Hydrogen Production via Pyrolysis of Natural Gas,2020,4372165,http://dx.doi.org/10.1002/cben.202000014,Yes (1)
"Methods to Optimize Carbon Footprint of Buildings in Regenerative Architectural Design with the Use of Machine Learning, Convolutional Neural Network, and Parametric Design",2020,4375412,http://dx.doi.org/10.3390/en13205289,Yes (1)
Long-term impacts of increased timber harvests on ecosystem services and biodiversity: A scenario study based on national forest inventory data,2020,4375648,http://dx.doi.org/10.1016/j.ecoser.2020.101150,No (2)
Climate challenges and international cooperation in the framework of the 2030 Agenda,2020,4376019,http://dx.doi.org/10.5209/OBMD.73167,Unrated (0)
Advances Toward a Net-Zero Global Building Sector,2020,4376202,http://dx.doi.org/10.1146/annurev-environ-012420-045843,Yes (1)
The CO2 reduction potential for the European industry via direct electrification of heat supply (power-to-heat),2020,4376482,http://dx.doi.org/10.1088/1748-9326/abbd02,Yes (1)
"Advances in integration of energy, water and environment systems towards climate neutrality for sustainable development",2020,4378338,http://dx.doi.org/10.1016/j.enconman.2020.113410,Yes (1)
"Exhaust Emissions and Energy Consumption Analysis of Conventional, Hybrid, and Electric Vehicles in Real Driving Cycles",2020,4378770,http://dx.doi.org/10.3390/en13236423,Yes (1)
Opportunities and Challenges of Flexible Electricity-Based Fuel Production for the European Power System,2020,4378991,http://dx.doi.org/10.3390/su12239844,Unrated (0)
RELIGION AND CLIMATE POLICY IN THE EUROPEAN UNION,2020,4379505,,Yes (1)
"GETEC Green Steam KOEHLER PAPPEN saves 19,000 Tons of CO2 per Year through climate-neutral Energy Supply",2020,4379653,,Mixed (3)
"Dynamic Hygrothermal Models for Monumental, Historic Buildings with HVAC Systems: Complexity shown through a case study",2020,4380226,http://dx.doi.org/10.1051/e3sconf/202017215007,Mixed (3)
Greenhouse Gases and Circular Economy Issues in Sustainability Reports from the Energy Sector in the European Union,2020,4381340,http://dx.doi.org/10.3390/en13225993,Yes (1)
Low-Carbon R&D Can Boost EU Growth and Competitiveness,2020,4384183,http://dx.doi.org/10.3390/en13195236,Unrated (0)
Grid Integration as a Strategy of Med-TSO in the Mediterranean Area in the Framework of Climate Change and Energy Transition,2020,4384203,http://dx.doi.org/10.3390/en13205307,Unrated (0)
Mainstreaming Gender and Climate Change to Achieve a Just Transition to a Climate-Neutral Europe,2020,4384649,http://dx.doi.org/10.1111/jcms.13082,Mixed (3)
Graphene Addition to Digestion of Thin Stillage Can Alleviate Acidic Shock and Improve Biomethane Production,2020,4384729,http://dx.doi.org/10.1021/acssuschemeng.0c03484,Mixed (3)
Aero engine concepts beyond 2030: Part 2 - The free-piston composite cycle engine,2020,4399023,http://dx.doi.org/10.1115/GT2020-15395,Mixed (3)
Improving gaseous biofuel yield from seaweed through a cascading circular bioenergy system integrating anaerobic digestion and pyrolysis,2020,4925704,http://dx.doi.org/10.1016/j.rser.2020.109895,Unrated (0)
"STANDING IN ENVIRONMENTAL LAW AFTER URGENDA, JULIANA AND COVID-19 CRISES: WHO SHOULD FORCE GOVERNMENTS TO ACT IN ENVIRONMENTAL ISSUES RELATED TO CLIMATE CHANGE?",2020,5039725,,Yes (1)
Hydrogen Strategy for a Climate-Neutral Europe,2020,5053179,http://dx.doi.org/10.18668/NG.2020.12.09,Yes (1)
EUROPEAN GREEN DEAL AND THE NEW POLICY GOALS IN TRANSPORT AND MOBILITY - HOW GAMIFICATION CAN INFLUENCE PRO-ENVIRONMENTAL BEHAVIOUR FOR CUTTING CARBON EMISSIONS IN THE EU,2020,5057996,,Unrated (0)
Measuring the impact of demand response services on electricity prices in Latvian electricity market,2020,5061872,http://dx.doi.org/10.1109/RTUCON51174.2020.9316485,Yes (1)
PROMOTION OF RENEWABLE ENERGY IN THE EUROPEAN UNION,2020,5069692,,Yes (1)
A climate-neutral health care system: time to take action!,2020,5070960,,Mixed (3)
Horizon Europe framework programme as a factor supporting the energy transformation of the country,2020,5073218,http://dx.doi.org/10.18668/NG.2020.11.13,No (2)
A Preliminary Assessment of the Potential of Low Percentage Green Hydrogen Blending in the Italian Natural Gas Network,2020,5199836,http://dx.doi.org/10.3390/en13215570,Mixed (3)
A probabilistic analysis of power generation adequacy towards a climate-neutral Europe,2020,5199874,http://dx.doi.org/10.1016/j.egyr.2020.11.243,Unrated (0)
The Untapped Area Potential for Photovoltaic Power in the European Union,2020,5201999,http://dx.doi.org/10.3390/cleantechnol2040027,Unrated (0)
Smart Cities: The Metrics of Future Internet-Based Developments and Renewable Energies of Urban and Regional Innovation,2020,5202002,http://dx.doi.org/10.1080/10630732.2020.1868738,Unrated (0)
An Approach to Environmental Criteria in Public Procurement for the Renovation of Buildings in Spain,2020,5202011,http://dx.doi.org/10.3390/su12187590,Yes (1)
"State Regulation of Industrial Policy in Financial, Economic and Business Development in The Countries of the European Union",2020,5202524,,Yes (1)
The European Green Deal and its Impact on Regional Development Processes,2020,5202527,,Mixed (3)
Studying the Transition towards a Circular Bioeconomy-A Systematic Literature Review on Transition Studies and Existing Barriers,2020,5205030,http://dx.doi.org/10.3390/su12218990,Yes (1)
Coking Coal in the European Green Deal Strategy,2020,5205064,http://dx.doi.org/10.29227/IM-2020-02-47,Yes (1)
Implementation of Certified Energy Management System in Municipality. Case Study,2020,5206647,http://dx.doi.org/10.2478/rtuect-2020-0053,Unrated (0)
Change as a permanent condition: A history of transition processes in Dutch North Sea fisheries,2020,5225186,http://dx.doi.org/10.1016/j.marpol.2020.104245,Yes (1)
SECTORAL REQUIREMENTS OF THE NEW EUROPEAN RENEWABLE ENERGY FRAMEWORK,2020,5226853,,Unrated (0)
Innovative alternatives for repowering offshore wind farms,2020,5228337,http://dx.doi.org/10.1088/1742-6596/1618/4/042037,Yes (1)
Fracture mechanics testing of irradiated RPV steels by means of sub-sized specimens: FRACTESUS project,2020,5245247,http://dx.doi.org/10.1016/j.prostr.2020.10.008,Yes (1)
CO2 sequestration in Poland does not make sense?!,2020,5245306,http://dx.doi.org/10.18668/NG.2020.12.04,Unrated (0)
Sustainable Development of Society in the Context of the Transformation of the Legal Framework,2020,5253683,http://dx.doi.org/10.14207/ejsd.2020.v9n4p181,Yes (1)
Modelling the Integration of Residential Heat Demand and Demand Response in Power Systems with High Shares of Renewables,2020,5313440,http://dx.doi.org/10.3390/en13246628,Yes (1)
Dynamic Modeling of a Decarbonized District Heating System with CHP Plants in Electricity-Based Mode of Operation,2020,5318187,http://dx.doi.org/10.3390/en13164134,Yes (1)
